path,type,family,purpose,inputs,outputs,imports,callers,hard_coded_paths,status,uncertainty,syntax
scripts/feature_fusion/01_aggregate_vehicle_features_to_sensor_level.py,py,Feature fusion/PM proxy,01 aggregate vehicle features to sensor level,,data/sensor/MC1S_window_115430_124150.csv | outputs/features/idd_vehicle_detections_frame_level_v2.csv | outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/features/idd_vehicle_features_sensor_level_v2.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/feature_fusion/03_create_particle_density_modeling_table.py,py,Feature fusion/PM proxy,03 create particle density modeling table,,outputs/features/idd_vehicle_features_sensor_level_v2.csv | outputs/features/segformer_road_condition_features_sensor_level_v2.csv | outputs/features/particle_density_modeling_table_v2.csv,pathlib | argparse | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/feature_fusion/04_add_osm_features_to_modeling_table.py,py,Feature fusion/PM proxy,04 add osm features to modeling table,,outputs/features/particle_density_modeling_table_idd_finetuned_v2.csv | /Users/aryansatyendrakumar/Projects/pm_density_image_pipeline/ | outputs/features/Sensor_data_with_osm.csv | outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv,pathlib | argparse | pandas | numpy,,/Users/aryansatyendrakumar/Projects/pm_density_image_pipeline/,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/feature_fusion/05_add_effective_density_to_csv.py,py,Feature fusion/PM proxy,05 add effective density to csv,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/features/particle_density_modeling_table_idd_finetuned_osm_density_v2.csv,pathlib | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/pollution_proxy/__init__.py,py,Feature fusion/PM proxy,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/hvaq_vgg16_lstm_v1,directory,HVAQ-VGG16-LSTM,Experiment family root (169 files; .jpg:106; .csv:34; .json:10; .png:6; .py:4; .gz:3; .pt:3; .md:1; .npy:1; [no_ext]:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/reports,directory,HVAQ-VGG16-LSTM,Generated report/evaluation tree (16 files; .json:10; .csv:6),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/reports/t7_vgg16_lstm_block_purge0,directory,HVAQ-VGG16-LSTM,Generated report/evaluation tree (4 files; .csv:2; .json:2),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/reports/t7_vgg16_lstm_chrono_date,directory,HVAQ-VGG16-LSTM,Generated report/evaluation tree (4 files; .csv:2; .json:2),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/reports/t7_vgg16_lstm_purged_block,directory,HVAQ-VGG16-LSTM,Generated report/evaluation tree (0 files; ),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/reports/t7_vgg16_lstm_random,directory,HVAQ-VGG16-LSTM,Generated report/evaluation tree (4 files; .csv:2; .json:2),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/hvaq_vgg16_lstm_v1/models/t7_vgg16_lstm_block_purge0/best_hvaq_t7_vgg16_lstm.pt,model_artifact,HVAQ-VGG16-LSTM,Serialized trained model/checkpoint or preprocessing object; exact contents not deserialized during audit,,,,,,active or historical; uncertain,medium-high: inferred from filename/folder; producer often parameterized,n/a
experiments/hvaq_vgg16_lstm_v1/models/t7_vgg16_lstm_chrono_date/best_hvaq_t7_vgg16_lstm.pt,model_artifact,HVAQ-VGG16-LSTM,Serialized trained model/checkpoint or preprocessing object; exact contents not deserialized during audit,,,,,,active or historical; uncertain,medium-high: inferred from filename/folder; producer often parameterized,n/a
experiments/hvaq_vgg16_lstm_v1/models/t7_vgg16_lstm_random/best_hvaq_t7_vgg16_lstm.pt,model_artifact,HVAQ-VGG16-LSTM,Serialized trained model/checkpoint or preprocessing object; exact contents not deserialized during audit,,,,,,active or historical; uncertain,medium-high: inferred from filename/folder; producer often parameterized,n/a
experiments/hvaq_vgg16_lstm_v1/scripts/01_build_hvaq_manifest.py,py,HVAQ-VGG16-LSTM,01 build hvaq manifest,experiments/hvaq_vgg16_lstm_v1/data/raw,experiments/hvaq_vgg16_lstm_v1/data/processed/hvaq_image_label_manifest.csv | experiments/hvaq_vgg16_lstm_v1/reports,__future__ | argparse | json | re | pathlib | numpy | pandas | PIL | tqdm,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/hvaq_vgg16_lstm_v1/scripts/02_build_hvaq_T7_sequences.py,py,HVAQ-VGG16-LSTM,02 build hvaq T7 sequences,experiments/hvaq_vgg16_lstm_v1/data/processed/hvaq_image_label_manifest.csv,experiments/hvaq_vgg16_lstm_v1/data/processed/hvaq_T7_sequence_manifest.csv | experiments/hvaq_vgg16_lstm_v1/reports/hvaq_T7_sequence_summary.json,__future__ | argparse | json | random | pathlib | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/hvaq_vgg16_lstm_v1/scripts/03_extract_hvaq_vgg16_embeddings.py,py,HVAQ-VGG16-LSTM,03 extract hvaq vgg16 embeddings,experiments/hvaq_vgg16_lstm_v1/data/processed/hvaq_image_label_manifest.csv | experiments/hvaq_vgg16_lstm_v1/embeddings/hvaq_vgg16_avgpool512_row_embeddings.npy | experiments/hvaq_vgg16_lstm_v1/embeddings/hvaq_vgg16_avgpool512_embedding_index.csv,experiments/hvaq_vgg16_lstm_v1/reports/hvaq_vgg16_embedding_summary.json,__future__ | argparse | json | pathlib | numpy | pandas | torch | PIL | torch.utils.data | torchvision | tqdm,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/hvaq_vgg16_lstm_v1/scripts/04_train_hvaq_T7_vgg16_lstm.py,py,HVAQ-VGG16-LSTM,04 train hvaq T7 vgg16 lstm,experiments/hvaq_vgg16_lstm_v1/data/processed/hvaq_T7_sequence_manifest.csv | experiments/hvaq_vgg16_lstm_v1/embeddings/hvaq_vgg16_avgpool512_row_embeddings.npy,,__future__ | argparse | json | math | random | pathlib | matplotlib.pyplot | numpy | pandas | torch | scipy.stats | sklearn.metrics | torch.utils.data | tqdm,,,active or historical; uncertain,medium: inferred from static code and naming,ok
outputs/pipeline_1s/reports,directory,MUMMA 1-second pipeline,Generated report/evaluation tree (26 files; .png:14; .csv:10; .md:2),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/pipeline_1s/reports/extra_1s_analysis,directory,MUMMA 1-second pipeline,Generated report/evaluation tree (12 files; .png:10; .csv:2),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/pipeline_1s/reports/lag_window_analysis,directory,MUMMA 1-second pipeline,Generated report/evaluation tree (11 files; .csv:6; .png:4; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/pipeline_1s/reports/lag_window_analysis/report_artifacts,directory,MUMMA 1-second pipeline,Generated report/evaluation tree (9 files; .csv:4; .png:4; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
scripts/pipeline_1s/00_audit_runs_for_best_window.py,py,MUMMA 1-second pipeline,00 audit runs for best window,data/sensor/MC1S_window_115430_124150.csv,outputs/pipeline_1s/reports/run_window_audit_10min.csv,pathlib | argparse | json | subprocess | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/00_make_sensor_window_subset.py,py,MUMMA 1-second pipeline,00 make sensor window subset,,data/sensor/MC1S_window_115430_124150.csv | data/sensor/MC1S_best_10min_window.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/01_extract_1s_frames_from_sensor_windows.py,py,MUMMA 1-second pipeline,Extract 1-second sampled video frames around each sensor timestamp.,,data/sensor/MC1S_window_115430_124150.csv | outputs/pipeline_1s/frames_raw | outputs/pipeline_1s/manifests/frame_manifest_1s_v1.csv,pathlib | argparse | json | subprocess | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/04_aggregate_1s_features_to_sensor_level.py,py,MUMMA 1-second pipeline,04 aggregate 1s features to sensor level,,outputs/pipeline_1s/vehicle_detections/ | outputs/pipeline_1s/road_area_lens1_best3min_v1/ | outputs/pipeline_1s/features/,pathlib | argparse | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/05_merge_1s_features_with_sensor_data.py,py,MUMMA 1-second pipeline,05 merge 1s features with sensor data,,data/sensor/MC1S_best_3min_window.csv | outputs/pipeline_1s/features/sensor_level_1s_aggregated_features_best3min.csv | outputs/pipeline_1s/modeling/modeling_table_1s_features_best3min.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/06_analyze_1s_extra_information.py,py,MUMMA 1-second pipeline,06 analyze 1s extra information,,outputs/pipeline_1s/modeling/modeling_table_1s_features_best3min.csv | outputs/pipeline_1s/reports/extra_1s_analysis,pathlib | argparse | pandas | numpy | matplotlib.pyplot | scipy.stats,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/07_lag_window_analysis.py,py,MUMMA 1-second pipeline,07 lag window analysis,,data/sensor/MC1S_best_3min_window.csv | outputs/pipeline_1s/vehicle_detections/ | outputs/pipeline_1s/road_area_lens1_best3min_v1/ | outputs/pipeline_1s/features/ | outputs/pipeline_1s/reports/lag_window_analysis/,pathlib | argparse | numpy | pandas | scipy.stats | sklearn.linear_model,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/pipeline_1s/08_generate_lag_window_report_artifacts.py,py,MUMMA 1-second pipeline,08 generate lag window report artifacts,,outputs/pipeline_1s/reports/lag_window_analysis/ | outputs/pipeline_1s/features/ | outputs/pipeline_1s/reports/lag_window_analysis/report_artifacts,pathlib | argparse | textwrap | numpy | pandas | matplotlib.pyplot,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1,directory,MUMMA-281,Experiment family root (41 files; .csv:24; .py:9; .json:7; .npy:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/mumma_281_pipeline_v1/reports,directory,MUMMA-281,Generated report/evaluation tree (29 files; .csv:22; .json:7),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
