architecture_id,name,scope,component_type,status,datasets,inputs,targets,core_design,implementation,evidence,validation_or_warning,canonicality
FE-01,Frozen ImageNet CNN embeddings,feature extraction,cnn encoder,feature extractor,"TRAQID; HVAQ; MUMMA-281; MUMMA-5day",images,"fixed embeddings","ResNet50 2048; ConvNeXt-tiny 768; MobileNetV2/EfficientNet-B0 1280; VGG16 GAP 512",src/roadside_pm/features/images/resnet.py,experiments/traqid_pretraining_v1/embeddings,Not a PM predictor,active upstream
FE-02,Supervised single-frame CNN,PM2.5/feature extraction,end-to-end cnn regressor,historical,TRAQID,"front or rear image",PM2.5,"ImageNet MobileNetV2/EfficientNet-B0/ResNet50 plus scalar head; optional partial unfreezing",experiments/traqid_pretraining_v1/scripts/09_train_traqid_supervised_cnn_pm25.py,experiments/traqid_pretraining_v1/models/supervised_cnn_pm25,Random and chronological results differ; random R2 about 0.142,superseded
FE-03,IDD YOLO11m traffic detector,feature extraction,object detector,feature extractor,"MUMMA; TRAQID feature pipeline",road images,"traffic features and boxes","fine-tuned YOLO11m; 15 IDD classes; PM class mapping",scripts/vehicle_detection/01_run_idd_detector_on_processed_frames.py,models/detectors/yolo11m_idd15_v1_best.pt,Original training provenance incomplete,active upstream
FE-04,IDD SegFormer-B0 road segmenter,feature extraction,semantic segmentation,feature extractor,"MUMMA; TRAQID feature pipeline",road images,"road masks and appearance","fine-tuned SegFormer-B0 binary road mask",scripts/road_area/10_batch_lens1_road_area_depth.py,models/road_segmentation/best_segformer_b0_idd_binary_road,Original training provenance incomplete,active upstream
FE-05,Depth Anything metric road area,feature extraction,depth plus geometry,provisional,MUMMA,"image; road mask; camera intrinsics","depth and visible road area","Depth Anything V2 Metric Outdoor Base; pinhole points; triangulated area",scripts/road_area/10_batch_lens1_road_area_depth.py,artifacts/runs/mumma_5day_visual_features_v1/road_area_lens1,All rows quality-flagged; generally harmful to PM model,noncanonical
FE-06,AlphaEarth annual embedding,feature extraction,geospatial encoder,feature extractor,MUMMA,"latitude; longitude; year",64-D geospatial embedding,"annual latent A00-A63 embedding",pipelines/shared/extract_alphaearth_features_batched.py,artifacts/runs/mumma_5day_geospatial_alphaearth_v1/alphaearth_2025_point.csv,Dimensions are latent and not directly interpretable,active upstream
FE-07,OSM 250m corridor features,feature extraction,geospatial aggregation,feature extractor,MUMMA,"latitude; longitude; OSM tiles",25 POI and road predictors,"cached Overpass tiles plus local 250m radius filtering",pipelines/shared/extract_osm_corridor_features.py,artifacts/runs/mumma_5day_geospatial_corridor_v1/osm_250m.csv,Small gains only; static context,active upstream
PM-01,Classical tabular suite,PM2.5,classical regression,active experiment,"TRAQID; MUMMA-281; MUMMA-5day","sensor; time; YOLO; road; OSM; AlphaEarth",PM2.5,"Ridge; RandomForest; ExtraTrees; HistGradientBoosting",pipelines/pm25_prediction/mumma_7day/model_current_data.py,artifacts/runs/mumma_5day_complete_nonpm_models_v1,Must use grouped-date evaluation for generalization,active benchmark
PM-02,CNN PCA classical sequence,PM2.5,classical image regression,historical,"TRAQID; MUMMA-281","CNN embeddings; optional flattened T window",PM2.5,"train-only PCA plus Ridge/RF/ET/HGB",experiments/mumma_281_pipeline_v1/scripts/07_resnet_t7_random2fold_lstm_fair_pm25.py,experiments/mumma_281_pipeline_v1/reports/pm25_resnet_t7_random2fold_lstm_fair_results.csv,Best MUMMA-281 row R2 0.425 random 2-fold,benchmark
PM-03,Single-frame ResNet50 MLP,PM2.5,neural image regressor,historical,TRAQID,"4096-D front/rear concat embedding",PM2.5,"LayerNorm; 512; 256; scalar MLP",experiments/traqid_pretraining_v1/scripts/13_train_pm25_single_image_resnet_mlp.py,experiments/traqid_pretraining_v1/reports/single_image_pm25_resnet50_mlp_random_seed42,Temporal-free baseline,superseded
PM-04,Generic image GRU/LSTM,PM2.5,cnn-rnn,active experiment,"TRAQID; MUMMA-5day","T-length CNN embeddings; optional late tabular",PM2.5,"one-layer GRU/LSTM hidden128; final state MLP",src/roadside_pm/modeling/image_temporal.py,artifacts/runs/mumma_5day_image_ladder_T7_gru_v1,Random overlap versus whole-date results must be separated,active core
PM-05,HVAQ VGG16-LSTM T7,PM2.5,cnn-rnn,historical,HVAQ,"T7 VGG16 512-D embeddings",PM2.5,"one-layer LSTM hidden64; 128 head; log1p target",experiments/hvaq_vgg16_lstm_v1/scripts/04_train_hvaq_T7_vgg16_lstm.py,experiments/hvaq_vgg16_lstm_v1/models,Random R2 0.765; chrono R2 -39.566,historical
PM-06,TRAQID paper CNN-LSTM multitarget,multitarget air quality,cnn-rnn,historical,TRAQID,"T7 VGG16/ResNet50 embeddings",PM2.5/PM10/AQI,"LSTM final state; dropout MLP; sigmoid min-max outputs",experiments/traqid_pretraining_v1/scripts/21_train_paper_cnn_lstm_multitarget.py,experiments/traqid_pretraining_v1/models/paper_cnn_lstm,Mostly historical random/purged comparisons,historical reproduction
PM-07,Early-concat multimodal RNN,multitarget air quality,multimodal rnn,historical,TRAQID,"image plus engineered features at every timestep",PM2.5/PM10/AQI,"project concatenated stream to512; 2-layer GRU/LSTM hidden256",experiments/traqid_pretraining_v1/scripts/05_train_traqid_T7_multimodal_rnn_no_pm_inputs.py,experiments/traqid_pretraining_v1/reports/t7_multimodal_gru_random_seed42,Many seed variants; random overlap risk,historical
PM-08,Late CNN-LSTM tabular fusion,multitarget air quality,multimodal rnn,historical,TRAQID,"image sequence; tabular context",PM2.5/PM10/AQI,"LSTM branch plus two-layer tabular MLP then fusion head",experiments/traqid_pretraining_v1/scripts/23_train_paper_cnn_lstm_tabular_fusion.py,experiments/traqid_pretraining_v1/models/paper_cnn_lstm_tabular_fusion,Random/twofold/chrono/purged variants must not be mixed,historical
PM-09,Late GRU tabular fusion,PM2.5,multimodal rnn,historical/active,TRAQID,"image sequence; target-row tabular",PM2.5,"GRU hidden128 plus tabular MLP64 plus fusion128",experiments/traqid_pretraining_v1/scripts/16_train_T7_gru_tabular_fusion.py,experiments/traqid_pretraining_v1/models/pm25_balanced_date_grouped_T7_gru_tabular_cv,Five grouped-date checkpoints exist,historical fair branch
PM-10,Gated dual-branch temporal fusion,multitarget air quality,gated multimodal rnn,historical,TRAQID,"image sequence; engineered sequence",PM2.5/PM10/AQI,"separate recurrent branches; learned sigmoid representation gate",experiments/traqid_pretraining_v1/scripts/06_train_traqid_T7_gated_multimodal_fusion_no_pm_inputs.py,experiments/traqid_pretraining_v1/reports/gated_resnet50_concat_gru_seed11,Not the same as multi-view lens attention,historical
PM-11,Gated multi-view temporal GRU,PM2.5,gated multi-view rnn,diagnostic only,MUMMA-2day,"lens1/2/6 embedding sequence; tabular sequence","trailing-3-row smoothed sPM2","per-lens projections; timestep softmax lens attention; GRU",src/roadside_pm/modeling/multimodal_temporal.py,artifacts/runs/mumma_2day_gated_multimodal_T7_30s_random_v1,R2 0.958 with 99.27% target/context overlap,diagnostic
PM-12,TRAQID 3-fold OOF clipped residual,PM2.5,ensemble plus residual,historical diagnostic,TRAQID,"T7 front/rear ResNet50; 558 residual features",PM2.5,"3 GRUs plus conservative ExtraTrees; residual clip +/-12.5",experiments/traqid_pretraining_v1/scripts/10_pm25_oof_residual_correction.py,experiments/traqid_pretraining_v1/reports/pm25_oof_residual_3fold_seed42,"R2 0.966; overlapping random windows",historical presentation
PM-13,Strict image-base residual correction,PM2.5,residual fusion,active experiment,"TRAQID; MUMMA","OOF/held-out base prediction; non-PM tabular",PM2.5,"actual-base residual; Ridge/ET/RF/HGB correction; origin validation",src/roadside_pm/modeling/residual_fusion.py,artifacts/runs/mumma_5day_gru_T7_yolo_road_area_residual_safe_v1,Correction candidate selection must stay inside validation,active core
PM-14,CAMS background local increment,PM2.5,physics-informed decomposition,active experiment,MUMMA-5day,"external CAMS; image or non-PM context",PM2.5 local increment,"sPM2 = CAMS background + learned local increment",pipelines/pm25_prediction/mumma_7day/run_background_local_increment.py,artifacts/runs/mumma_5day_background_local_increment_v1,CAMS is external and not target-fitted,active core
PM-15,Nested CAMS temporal-tabular ensemble,PM2.5,nested multimodal ensemble,canonical candidate,MUMMA-5day,"CAMS; lens6 T7 ResNet-GRU; YOLO/road; AlphaEarth; optional OSM",PM2.5,"temporal corrected branch plus tabular ET branch; validation-selected convex weight",pipelines/pm25_prediction/mumma_7day/run_nested_background_ensemble.py,artifacts/runs/mumma_5day_nested_background_ensemble_fair_v1,"pooled R2 0.457 but mean date R2 negative; needs untouched dates",current frozen candidate
PM-16,Weighted greedy and stacked ensembles,PM2.5/air quality,model ensemble,mixed,"TRAQID; MUMMA","predictions from multiple base learners",same target as bases,"equal/weighted/Dirichlet/greedy blending or Ridge stacking",experiments/traqid_pretraining_v1/scripts/08_greedy_weighted_ensemble_search.py,experiments/traqid_pretraining_v1/reports/rerun_weighted_ensemble_search,Historical searches risk selection bias; nested MUMMA version is safer,mixed
PM-17,Numerical LSTM T12-H12 forecast,forecasting,multi-horizon rnn,historical,TRAQID,"12-step numerical history; static context","12 future PM2.5 and PM10 steps","LSTM plus static concatenation; 200-unit head; 24 outputs",sequence_leakage_audit/train_forecast_numerical_lstm.py,experiments/traqid_pretraining_v1/reports/forecast_numerical_lstm_T12_H12_timestamp,Uses pollutant history and answers a different task,historical forecasting
PM-18,Numerical forecasting baselines,forecasting,classical multi-output,historical,TRAQID,"lagged pollutant/context features","12 future PM2.5 and PM10 steps","persistence; Ridge; RF; ExtraTrees",sequence_leakage_audit/train_forecast_numerical_baselines.py,experiments/traqid_pretraining_v1/reports/forecast_numerical_baselines_T12_H12_timestamp,Not comparable with current-timestamp non-PM prediction,historical forecasting
SA-01,NMF latent source proxy,particle/source proxy,NMF plus context model,exploratory,MUMMA-2day,"10 PM/OPC channels for inference; non-PM context for prediction",latent PM2.5 component fractions,"train-only NMF then multi-output ExtraTrees",pipelines/particle_source_attribution/run_source_proxy.py,artifacts/runs/mumma_2day_source_proxy_random_v1,Components are neutral factors not chemical sources,exploratory
SA-02,Assumed-profile Monte Carlo NNLS,particle/source scenarios,constrained mixture plus context model,diagnostic,MUMMA-2day,"four incremental mass bins; illustrative profiles; non-PM context",scenario fractions,"Dirichlet profile draws; NNLS; ExtraTrees context prediction",pipelines/particle_source_attribution/run_assumption_scenarios.py,artifacts/runs/mumma_2day_assumed_source_scenarios_random_v1,Degenerate dominant solution; not measured attribution,assumption sensitivity only
SA-03,Direct particle-regime models,particle properties,multi-output classical,active experiment,MUMMA-2day,"non-PM context; optional ResNet PCA","mass fractions; diameter; density proxy; number proxy","ExtraTrees composition and scalar models; train-only PCA optional",pipelines/particle_source_attribution/run_particle_regimes.py,artifacts/runs/mumma_2day_particle_regimes_random_v1,Density/number units still provisional,preferred current particle analysis
