current_path,asset_type,current_role,proposed_destination,migration_status,compatibility_action,verification_required
src/vehicle_detection,source_module,IDD vehicle detection,src/roadside_pm/features/vehicles,registered_not_moved,extract shared logic and keep old imports working,unit tests plus identical detection-table schema
src/road_features,source_module,historical OpenCV and CLIP road features,src/roadside_pm/features/road,historical_preserved_noncanonical,retain compatibility only; exclude from active feature configs,feature equivalence on fixture images
src/road_roi,source_module,road ROI cropping,src/roadside_pm/features/road,registered_not_moved,extract shared logic and keep old imports working,ROI pixel equivalence
src/temporal_features,source_module,lag and rolling features,src/roadside_pm/features/temporal,registered_not_moved,extract shared logic and keep old imports working,table equivalence and no future leakage
src/modeling,source_module,generic modeling helpers,src/roadside_pm/modeling,registered_not_moved,extract after validation utilities,metric and prediction equivalence
scripts/frame_extraction,pipeline_scripts,frame extraction,pipelines/shared,registered_not_moved,wrap only after canonical manifest exists,manifest and frame checksum comparison
scripts/preprocessing,pipeline_scripts,lens preprocessing,pipelines/shared,registered_not_moved,wrap existing entry point,image checksum comparison
scripts/vehicle_detection,pipeline_scripts,IDD inference,pipelines/shared,registered_not_moved,retain command and defaults,row and object output equivalence
scripts/road_segmentation,pipeline_scripts,road segmentation and condition,pipelines/shared,registered_not_moved,retain model and thresholds,mask and feature equivalence
scripts/road_area,pipeline_scripts,SegFormer plus metric-depth road area and vehicle occlusion,pipelines/shared,canonical_method_registered_not_moved,retain v1 v2 v3; use depth-gated v3 as candidate plus conservative adjustment,manual polygon and validation-pack comparison
scripts/feature_fusion,pipeline_scripts,feature aggregation and PM proxy,pipelines/shared,registered_not_moved,replace absolute paths through config,modeling-table schema equivalence
experiments/mumma_281_pipeline_v1,experiment_family,current MUMMA 281 experiments,experiments/pm25_prediction/mumma_281,canonical_index_and_runner_added,historical scripts delegated through one runner without behavior changes,reproduce best fair model and split assignments
experiments/mumma_v1,experiment_family,legacy MUMMA reports,experiments/legacy/mumma_v1,historical_not_moved,index only until provenance is confirmed,match report producers and repair malformed metrics
experiments/traqid_pretraining_v1,experiment_family,TRAQID benchmark and leakage work,experiments/benchmarks/traqid,registered_not_moved,separate replication from valid evaluation,reproduce overlap reports and validation ladder
experiments/traqid_pretraining_v1/scripts/19_build_paper_style_T_sequence_manifest.py,image_temporal_source,historical sequence construction,pipelines/image_embeddings/build_sequences.py,canonical_replacement_added,preserve historical replication; canonical builder groups before windows,zero cross-split frame overlap
experiments/traqid_pretraining_v1/scripts/20_extract_paper_cnn_features.py,image_embedding_source,historical VGG16 and ResNet50 extraction,pipelines/image_embeddings/extract_resnet50.py,resnet50_canonical_replacement_added,preserve historical VGG branch as benchmark,embedding shape and ID index equivalence
experiments/traqid_pretraining_v1/scripts/21_train_paper_cnn_lstm_multitarget.py,image_temporal_source,historical image-only LSTM,pipelines/image_embeddings/train_rnn.py,canonical_gru_lstm_replacement_added,preserve checkpoints and random-split reports,controlled fold and prediction comparison
experiments/traqid_pretraining_v1/scripts/23_train_paper_cnn_lstm_tabular_fusion.py,image_temporal_source,historical late tabular fusion,src/roadside_pm/modeling/image_temporal.py,model_class_migrated_trainer_pending,retain historical trainer until fold-safe tabular preprocessing is connected,fold-contained scaler and fusion ablation
experiments/mumma_281_pipeline_v1/scripts/06_extract_resnet50_embeddings.py,image_embedding_source,historical MUMMA ResNet50 extraction,pipelines/image_embeddings/extract_resnet50.py,canonical_replacement_added,remove hard-coded image search through explicit manifest,embedding and index alignment
experiments/mumma_281_pipeline_v1/scripts/07_resnet_t7_random2fold_lstm_fair_pm25.py,image_temporal_source,historical random two-fold GRU LSTM,pipelines/image_embeddings/train_rnn.py,canonical_replacement_added,retain as invalid-generalization benchmark only,grouped chronological and spatial evaluation
sequence_leakage_audit,validation_tools,sequence overlap and forecasting audit,src/roadside_pm/validation,registered_not_moved,extract generic functions first,unit tests against historical summaries
experiments/hvaq_vgg16_lstm_v1,experiment_family,HVAQ temporal benchmark,experiments/benchmarks/hvaq,registered_not_moved,preserve random chronological and purged variants,reproduce manifests and metrics
experiments/traqid_pretraining_v1/scripts/*.save,backup_source,source backups,experiments/legacy/source_backups,historical_not_moved,no action until unique diffs are reviewed,diff against corresponding Python files
scripts/archive,archived_source,explicitly unused historical scripts,experiments/legacy/scripts_archive,historical_not_moved,no compatibility work planned,maintainer confirmation before any future move
models,model_artifacts,external and trained models,models plus artifacts/runs,registered_not_moved,record checksums and provenance,load tests and architecture metadata
outputs,generated_artifacts,historical generated outputs,artifacts/runs,registered_not_moved,index existing output groups rather than moving,producer mapping and checksums
